label,note
Unknown,"payment entry with no useful details"
Unknown,"money was charged but the reason is unclear"
Unknown,"transaction recorded without a purpose"
Unknown,"made a payment and left no description"
Unknown,"expense has no meaningful note"
Unknown,"debit posted without explaining what it was for"
Unknown,"payment information is unavailable"
Unknown,"cannot tell what this charge was about"
Unknown,"spent some money but no reason was entered"
Unknown,"transaction has insufficient details"
Unknown,"payment recorded without context"
Unknown,"expense note does not say what was purchased"
Unknown,"amount was deducted with no description"
Unknown,"this charge has no category information"
Unknown,"payment was made but the purpose is unknown"
Unknown,"no information was entered for this expense"
Unknown,"transaction purpose was not captured"
Unknown,"the expense description is missing"
Unknown,"debit with an unspecified purpose"
Unknown,"paid something but the note gives no clue"
Unknown,"charge appeared without any useful context"
Unknown,"expense was recorded without identifying the purchase"
Unknown,"payment details are too vague to categorize"
Unknown,"money left the account with no explanation"
Unknown,"no context was provided for the transaction"
Unknown,"this expense cannot be identified from the note"
Unknown,"recorded a transaction with an empty description"
Unknown,"payment made without stating what it was for"
Unknown,"the note does not identify the expense"
Unknown,"unclear transaction with no category clues"
Unknown,"debit recorded with insufficient information"
Unknown,"expense purpose was left unspecified"
Unknown,"transaction note contains no category clue"
Unknown,"payment description is too vague to classify"
Unknown,"charge recorded without enough information"
