label,split,note
"Health & Fitness","train","bought medicine for mom"
"Health & Fitness","train","picked up tablets from the pharmacy"
"Health & Fitness","train","paid for a doctor visit"
"Health & Fitness","train","hospital bill for dad"
"Health & Fitness","train","got some medical supplies"
"Health & Fitness","train","medicine for fever"
"Health & Fitness","train","paid the chemist"
"Health & Fitness","train","doctor consultation fee"
"Health & Fitness","train","bought prescription medicine"
"Health & Fitness","train","pharmacy purchase"
"Health & Fitness","train","paid for blood test"
"Health & Fitness","train","medical checkup"
"Health & Fitness","train","bought vitamins from pharmacy"
"Health & Fitness","train","medicine refill"
"Health & Fitness","train","healthcare appointment"
"Health & Fitness","test","ordered my prescribed tablets"
"Health & Fitness","test","paid the clinic for a checkup"
"Health & Fitness","test","bought cough medicine"
"Health & Fitness","test","collected prescription drugs"
"Health & Fitness","test","money spent at the chemist"
"Groceries","train","bought vegetables for us"
"Groceries","train","weekly grocery shopping"
"Groceries","train","picked up milk and bread"
"Groceries","train","kirana shop groceries"
"Groceries","train","bought rice and dal"
"Groceries","train","monthly ration"
"Groceries","train","vegetables and fruits"
"Groceries","train","stocked up the kitchen"
"Groceries","train","bought household groceries"
"Groceries","train","milk for home"
"Groceries","train","fresh vegetables from market"
"Groceries","train","grocery run"
"Groceries","train","bought cooking ingredients"
"Groceries","train","kitchen supplies from kirana"
"Groceries","train","weekly food supplies"
"Groceries","test","restocked rice and lentils"
"Groceries","test","bought fruits for the house"
"Groceries","test","picked up groceries on the way home"
"Groceries","test","monthly kitchen ration"
"Groceries","test","got milk and vegetables"
"Food & Dining","train","had dinner with Rahul"
"Food & Dining","train","paid for lunch"
"Food & Dining","train","tea and snacks"
"Food & Dining","train","coffee at the cafe"
"Food & Dining","train","breakfast before college"
"Food & Dining","train","ordered food"
"Food & Dining","train","dinner at a restaurant"
"Food & Dining","train","canteen lunch"
"Food & Dining","train","birthday cake"
"Food & Dining","train","grabbed some chai"
"Food & Dining","train","meal with friends"
"Food & Dining","train","ate at the bakery"
"Food & Dining","train","food delivery for dinner"
"Food & Dining","train","went out for coffee"
"Food & Dining","train","paid my share of the meal"
"Food & Dining","test","bought lunch after class"
"Food & Dining","test","had a quick breakfast"
"Food & Dining","test","ordered dinner from a restaurant"
"Food & Dining","test","chai with friends"
"Food & Dining","test","paid for our food"
"Travel & Transport","train","auto ride to college"
"Travel & Transport","train","paid for an Uber ride"
"Travel & Transport","train","cab to the station"
"Travel & Transport","train","petrol for my bike"
"Travel & Transport","train","bus ticket"
"Travel & Transport","train","travel ticket home"
"Travel & Transport","train","ride to the airport"
"Travel & Transport","train","fuel for the car"
"Travel & Transport","train","ola ride"
"Travel & Transport","train","rickshaw fare"
"Travel & Transport","train","train ticket for the trip"
"Travel & Transport","train","metro ride"
"Travel & Transport","train","paid for transport"
"Travel & Transport","train","cab fare home"
"Travel & Transport","train","travel expenses"
"Travel & Transport","test","booked a ride to campus"
"Travel & Transport","test","filled petrol in the bike"
"Travel & Transport","test","paid the metro fare"
"Travel & Transport","test","ticket for my journey"
"Travel & Transport","test","took an auto home"
"Housing / Rent","train","monthly room rent"
"Housing / Rent","train","paid the landlord"
"Housing / Rent","train","rent for the apartment"
"Housing / Rent","train","house rent this month"
"Housing / Rent","train","room rent payment"
"Housing / Rent","train","monthly rental payment"
"Housing / Rent","train","paid my landlord"
"Housing / Rent","train","rent due for August"
"Housing / Rent","train","apartment rent"
"Housing / Rent","train","hostel room rent"
"Housing / Rent","train","flat rent"
"Housing / Rent","train","rental payment for home"
"Housing / Rent","train","paid rent for my room"
"Housing / Rent","train","monthly house payment"
"Housing / Rent","train","landlord payment"
